key	synidaemi	launaflokkur	threp	aldursflokkur	kennsluskylda	skertur	vinnumat	ryrnun	afangafjoldi	einingar	nemendafjoldi	vinnuskylda	laun
183	Íslenska	8	4	30-37 ára	24	False	681.333333333	0.0	4	12	17	708	580604.333333
184	Tungumál	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	17	720	502955.333333
185	Tungumál	5	4	30 ára-	24	False	669.333333333	0.0	4	12	17	720	502955.333333
186	Tungumál	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	17	720	527585.333333
187	Tungumál	6	4	30 ára-	24	False	669.333333333	0.0	4	12	17	720	527585.333333
188	Tungumál	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	17	667	639056.333333
189	Tungumál	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	17	667	641595.501027
190	Tungumál	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	17	551	738693.273631
191	Tungumál	10	4	60 ára+	19	False	669.333333333	0.0	4	12	17	551	767828.409224
192	Tungumál	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	17	696	609117.333333
193	Tungumál	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	17	696	609117.333333
194	Tungumál	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	17	696	639056.333333
195	Tungumál	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	17	696	639056.333333
196	Tungumál	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	17	708	553447.333333
197	Tungumál	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	17	708	553447.333333
198	Tungumál	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	17	708	580604.333333
199	Tungumál	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	17	708	580604.333333
200	Raungreinar	5	4	30 ára-	24	True	656.0	27.3333333333	4	12	17	720	502955.333333
201	Raungreinar	5	4	30 ára-	24	False	683.333333333	0.0	4	12	17	720	502955.333333
202	Raungreinar	6	4	30 ára-	24	True	656.0	27.3333333333	4	12	17	720	527585.333333
203	Raungreinar	6	4	30 ára-	24	False	683.333333333	0.0	4	12	17	720	527585.333333
204	Raungreinar	10	4	55-59 ára	23	True	656.0	27.3333333333	4	12	17	667	639056.333333
205	Raungreinar	10	4	55-59 ára	23	False	683.333333333	0.0	4	12	17	667	656830.507189
206	Raungreinar	10	4	60 ára+	19	True	656.0	27.3333333333	4	12	17	551	753318.879546
207	Raungreinar	10	4	60 ára+	19	False	683.333333333	0.0	4	12	17	551	783063.415385
208	Raungreinar	9	4	38-54 ára	24	True	656.0	27.3333333333	4	12	17	696	609117.333333
209	Raungreinar	9	4	38-54 ára	24	False	683.333333333	0.0	4	12	17	696	609117.333333
210	Raungreinar	10	4	38-54 ára	24	True	656.0	27.3333333333	4	12	17	696	639056.333333
211	Raungreinar	10	4	38-54 ára	24	False	683.333333333	0.0	4	12	17	696	639056.333333
212	Raungreinar	7	4	30-37 ára	24	True	656.0	27.3333333333	4	12	17	708	553447.333333
213	Raungreinar	7	4	30-37 ára	24	False	683.333333333	0.0	4	12	17	708	553447.333333
214	Raungreinar	8	4	30-37 ára	24	True	656.0	27.3333333333	4	12	17	708	580604.333333
215	Raungreinar	8	4	30-37 ára	24	False	683.333333333	0.0	4	12	17	708	580604.333333
216	Stærðfræði	5	4	30 ára-	24	True	627.2	26.1333333333	4	12	17	720	502955.333333
217	Stærðfræði	5	4	30 ára-	24	False	653.333333333	0.0	4	12	17	720	502955.333333
218	Stærðfræði	6	4	30 ára-	24	True	627.2	26.1333333333	4	12	17	720	527585.333333
219	Stærðfræði	6	4	30 ára-	24	False	653.333333333	0.0	4	12	17	720	527585.333333
220	Stærðfræði	10	4	55-59 ára	23	True	627.2	26.1333333333	4	12	17	667	639056.333333
221	Stærðfræði	10	4	55-59 ára	23	False	653.333333333	0.0	4	12	17	667	639056.333333
222	Stærðfræði	10	4	60 ára+	19	True	627.2	26.1333333333	4	12	17	551	721978.295442
223	Stærðfræði	10	4	60 ára+	19	False	653.333333333	0.0	4	12	17	551	750416.97361
224	Stærðfræði	9	4	38-54 ára	24	True	627.2	26.1333333333	4	12	17	696	609117.333333
225	Stærðfræði	9	4	38-54 ára	24	False	653.333333333	0.0	4	12	17	696	609117.333333
226	Stærðfræði	10	4	38-54 ára	24	True	627.2	26.1333333333	4	12	17	696	639056.333333
227	Stærðfræði	10	4	38-54 ára	24	False	653.333333333	0.0	4	12	17	696	639056.333333
228	Stærðfræði	7	4	30-37 ára	24	True	627.2	26.1333333333	4	12	17	708	553447.333333
229	Stærðfræði	7	4	30-37 ára	24	False	653.333333333	0.0	4	12	17	708	553447.333333
230	Stærðfræði	8	4	30-37 ára	24	True	627.2	26.1333333333	4	12	17	708	580604.333333
231	Stærðfræði	8	4	30-37 ára	24	False	653.333333333	0.0	4	12	17	708	580604.333333
232	Félagsgreinar	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	17	720	502955.333333
233	Félagsgreinar	5	4	30 ára-	24	False	669.333333333	0.0	4	12	17	720	502955.333333
234	Félagsgreinar	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	17	720	527585.333333
235	Félagsgreinar	6	4	30 ára-	24	False	669.333333333	0.0	4	12	17	720	527585.333333
236	Félagsgreinar	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	17	667	639056.333333
237	Félagsgreinar	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	17	667	641595.501027
238	Félagsgreinar	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	17	551	738693.273631
239	Félagsgreinar	10	4	60 ára+	19	False	669.333333333	0.0	4	12	17	551	767828.409224
240	Félagsgreinar	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	17	696	609117.333333
241	Félagsgreinar	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	17	696	609117.333333
242	Félagsgreinar	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	17	696	639056.333333
243	Félagsgreinar	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	17	696	639056.333333
244	Félagsgreinar	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	17	708	553447.333333
245	Félagsgreinar	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	17	708	553447.333333
246	Félagsgreinar	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	17	708	580604.333333
247	Félagsgreinar	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	17	708	580604.333333
248	Íslenska	5	4	30 ára-	24	True	664.32	27.68	4	12	18	720	502955.333333
249	Íslenska	5	4	30 ára-	24	False	692.0	0.0	4	12	18	720	502955.333333
250	Íslenska	6	4	30 ára-	24	True	664.32	27.68	4	12	18	720	527585.333333
251	Íslenska	6	4	30 ára-	24	False	692.0	0.0	4	12	18	720	527585.333333
252	Íslenska	10	4	55-59 ára	23	True	664.32	27.68	4	12	18	667	639056.333333
253	Íslenska	10	4	55-59 ára	23	False	692.0	0.0	4	12	18	667	666261.701479
254	Íslenska	10	4	60 ára+	19	True	664.32	27.68	4	12	18	551	762372.826065
255	Íslenska	10	4	60 ára+	19	False	692.0	0.0	4	12	18	551	792494.609676
256	Íslenska	9	4	38-54 ára	24	True	664.32	27.68	4	12	18	696	609117.333333
257	Íslenska	9	4	38-54 ára	24	False	692.0	0.0	4	12	18	696	609117.333333
258	Íslenska	10	4	38-54 ára	24	True	664.32	27.68	4	12	18	696	639056.333333
259	Íslenska	10	4	38-54 ára	24	False	692.0	0.0	4	12	18	696	639056.333333
260	Íslenska	7	4	30-37 ára	24	True	664.32	27.68	4	12	18	708	553447.333333
261	Íslenska	7	4	30-37 ára	24	False	692.0	0.0	4	12	18	708	553447.333333
262	Íslenska	8	4	30-37 ára	24	True	664.32	27.68	4	12	18	708	580604.333333
263	Íslenska	8	4	30-37 ára	24	False	692.0	0.0	4	12	18	708	580604.333333
264	Tungumál	5	4	30 ára-	24	True	652.8	27.2	4	12	18	720	502955.333333
265	Tungumál	5	4	30 ára-	24	False	680.0	0.0	4	12	18	720	502955.333333
266	Tungumál	6	4	30 ára-	24	True	652.8	27.2	4	12	18	720	527585.333333
267	Tungumál	6	4	30 ára-	24	False	680.0	0.0	4	12	18	720	527585.333333
268	Tungumál	10	4	55-59 ára	23	True	652.8	27.2	4	12	18	667	639056.333333
269	Tungumál	10	4	55-59 ára	23	False	680.0	0.0	4	12	18	667	653203.124769
270	Tungumál	10	4	60 ára+	19	True	652.8	27.2	4	12	18	551	749836.592423
271	Tungumál	10	4	60 ára+	19	False	680.0	0.0	4	12	18	551	779436.032966
272	Tungumál	9	4	38-54 ára	24	True	652.8	27.2	4	12	18	696	609117.333333
273	Tungumál	9	4	38-54 ára	24	False	680.0	0.0	4	12	18	696	609117.333333
274	Tungumál	10	4	38-54 ára	24	True	652.8	27.2	4	12	18	696	639056.333333
275	Tungumál	10	4	38-54 ára	24	False	680.0	0.0	4	12	18	696	639056.333333
276	Tungumál	7	4	30-37 ára	24	True	652.8	27.2	4	12	18	708	553447.333333
277	Tungumál	7	4	30-37 ára	24	False	680.0	0.0	4	12	18	708	553447.333333
278	Tungumál	8	4	30-37 ára	24	True	652.8	27.2	4	12	18	708	580604.333333
279	Tungumál	8	4	30-37 ára	24	False	680.0	0.0	4	12	18	708	580604.333333
280	Raungreinar	5	4	30 ára-	24	True	666.24	27.76	4	12	18	720	502955.333333
281	Raungreinar	5	4	30 ára-	24	False	694.0	0.0	4	12	18	720	502955.333333
282	Raungreinar	6	4	30 ára-	24	True	666.24	27.76	4	12	18	720	527585.333333
283	Raungreinar	6	4	30 ára-	24	False	694.0	0.0	4	12	18	720	527585.333333
284	Raungreinar	10	4	55-59 ára	23	True	666.24	27.76	4	12	18	667	639056.333333
