synidaemi	launaflokkur	threp	aldursflokkur	kennsluskylda	skertur	vinnumat	ryrnun	afangafjoldi	einingar	nemendafjoldi	vinnuskylda	laun
Stærðfræði	7	4	30-37 ára	24	False	653.333333333	0.0	4	12	17	708	553447.333333
Stærðfræði	8	4	30-37 ára	24	True	627.2	26.1333333333	4	12	17	708	580604.333333
Stærðfræði	8	4	30-37 ára	24	False	653.333333333	0.0	4	12	17	708	580604.333333
Félagsgreinar	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	17	720	502955.333333
Félagsgreinar	5	4	30 ára-	24	False	669.333333333	0.0	4	12	17	720	502955.333333
Félagsgreinar	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	17	720	527585.333333
Félagsgreinar	6	4	30 ára-	24	False	669.333333333	0.0	4	12	17	720	527585.333333
Félagsgreinar	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	17	667	639056.333333
Félagsgreinar	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	17	667	641595.501027
Félagsgreinar	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	17	551	738693.273631
Félagsgreinar	10	4	60 ára+	19	False	669.333333333	0.0	4	12	17	551	767828.409224
Félagsgreinar	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	17	696	609117.333333
Félagsgreinar	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	17	696	609117.333333
Félagsgreinar	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	17	696	639056.333333
Félagsgreinar	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	17	696	639056.333333
Félagsgreinar	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	17	708	553447.333333
Félagsgreinar	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	17	708	553447.333333
Félagsgreinar	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	17	708	580604.333333
Félagsgreinar	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	17	708	580604.333333
Íslenska	5	4	30 ára-	24	True	664.32	27.68	4	12	18	720	502955.333333
Íslenska	5	4	30 ára-	24	False	692.0	0.0	4	12	18	720	502955.333333
Íslenska	6	4	30 ára-	24	True	664.32	27.68	4	12	18	720	527585.333333
Íslenska	6	4	30 ára-	24	False	692.0	0.0	4	12	18	720	527585.333333
Íslenska	10	4	55-59 ára	23	True	664.32	27.68	4	12	18	667	639056.333333
Íslenska	10	4	55-59 ára	23	False	692.0	0.0	4	12	18	667	666261.701479
Íslenska	10	4	60 ára+	19	True	664.32	27.68	4	12	18	551	762372.826065
Íslenska	10	4	60 ára+	19	False	692.0	0.0	4	12	18	551	792494.609676
Íslenska	9	4	38-54 ára	24	True	664.32	27.68	4	12	18	696	609117.333333
Íslenska	9	4	38-54 ára	24	False	692.0	0.0	4	12	18	696	609117.333333
Íslenska	10	4	38-54 ára	24	True	664.32	27.68	4	12	18	696	639056.333333
Íslenska	10	4	38-54 ára	24	False	692.0	0.0	4	12	18	696	639056.333333
Íslenska	7	4	30-37 ára	24	True	664.32	27.68	4	12	18	708	553447.333333
Íslenska	7	4	30-37 ára	24	False	692.0	0.0	4	12	18	708	553447.333333
Íslenska	8	4	30-37 ára	24	True	664.32	27.68	4	12	18	708	580604.333333
Íslenska	8	4	30-37 ára	24	False	692.0	0.0	4	12	18	708	580604.333333
Tungumál	5	4	30 ára-	24	True	652.8	27.2	4	12	18	720	502955.333333
Tungumál	5	4	30 ára-	24	False	680.0	0.0	4	12	18	720	502955.333333
Tungumál	6	4	30 ára-	24	True	652.8	27.2	4	12	18	720	527585.333333
Tungumál	6	4	30 ára-	24	False	680.0	0.0	4	12	18	720	527585.333333
Tungumál	10	4	55-59 ára	23	True	652.8	27.2	4	12	18	667	639056.333333
Tungumál	10	4	55-59 ára	23	False	680.0	0.0	4	12	18	667	653203.124769
Tungumál	10	4	60 ára+	19	True	652.8	27.2	4	12	18	551	749836.592423
Tungumál	10	4	60 ára+	19	False	680.0	0.0	4	12	18	551	779436.032966
Tungumál	9	4	38-54 ára	24	True	652.8	27.2	4	12	18	696	609117.333333
Tungumál	9	4	38-54 ára	24	False	680.0	0.0	4	12	18	696	609117.333333
Tungumál	10	4	38-54 ára	24	True	652.8	27.2	4	12	18	696	639056.333333
Tungumál	10	4	38-54 ára	24	False	680.0	0.0	4	12	18	696	639056.333333
Tungumál	7	4	30-37 ára	24	True	652.8	27.2	4	12	18	708	553447.333333
Tungumál	7	4	30-37 ára	24	False	680.0	0.0	4	12	18	708	553447.333333
Tungumál	8	4	30-37 ára	24	True	652.8	27.2	4	12	18	708	580604.333333
Tungumál	8	4	30-37 ára	24	False	680.0	0.0	4	12	18	708	580604.333333
Raungreinar	5	4	30 ára-	24	True	666.24	27.76	4	12	18	720	502955.333333
